rank,category,score,designation,alt_names,country,manufacturer,description,key_specs,source_urls
89,UAVs,74.1,Sky-Watch Huginn X1 X2 UAV,,?,,The Sky-Watch Huginn X1 is light helicopter UAV solution designed and manufactured in Denmark. The Huginn X1 is designed as a total solution capable of handeling both exterior and interior recon fligh,"Type: Light Reconnaissance and surveillance unmanned aircraft vehicle | Country users: ? | Designer Country: Denmark | Weight: 0.9 kg | Dimensions: Lenght, 0,58 m; Diameter, 0,68 m;",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/sky-watch-huginn-x1-denmark-uk
90,UAVs,74.1,Switchblade 300 Loitering Munition,,"France, Ukraine, United States",,"The Switchblade 300 is a miniature loitering munition or suicide drone developed and designed by the American company AeroVironment. It is a backpackable, rapidly deployable, loitering precision strik","Type: Miniature loitering munition also called suicide drone | Country users: France, Ukraine, United States | Designer Country: United States | Weight: 2.5 kg | Range: 600 km",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/switchblade-300
91,UAVs,74.1,Switchblade 600 Loitering Munition,,"Ukraine, United States",,The Switchblade 600 is a loitering munition also called a suicide drone developed and designed by the American company AeroVironment. It is the big brother of the Switchblade 300 but fitted with an AT,"Type: Anti-armor loitering munition | Country users: Ukraine, United States | Designer Country: United States | Weight system: 54.5 kg | Dimensions: Length: 1.3 m airframe",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/switchblade-600-loitering-munition
92,UAVs,74.1,TB2 Bayraktar Drone,,"Turkey, Ukraine, Qatar, Azerbaijan, Turkmenistan, Somalia, Libya, Poland, Kosovo, Bosnia and Herzegovina, Ethiopia, Chad, Morocco, Tunisia, Armenia, Kyrgyzstan, Mauritania, Albania, Northern Cyprus, the United Arab Emirates, Saudi Arabia, Croatia, Senegal, Kuwait and others",,"The Bayraktar TB2 is a Turkish-made tactical unmanned aerial vehicle (UAV) designed for intelligence, surveillance, reconnaissance (ISR), and precision strike missions. Developed by Baykar Makina, a T","Type: Tactical UAV Unmanned Aerial Vehicle | Country users: Turkey, Ukraine, Qatar, Azerbaijan, Turkmenistan, Somalia, Libya, Poland, Kosovo, Bosnia and Herzegovina, Ethiopia, Chad, Morocco, Tunisia, Armenia, Kyrgyzstan, Mauritania, Albania, Northern Cyprus, the United Arab Emirates, Saudi Arabia, Croatia, Senegal, Kuwait and others | Designer Country: Türkiye | Weight: Maximum takeoff weight (MTOW) of approximately 650 kilograms (1,433 lbs). | Dimensions: Length: 6.5 m; Height: 2.2 m; Wingspan: 12.0 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/bayraktar-tb2
93,UAVs,74.1,V-BAT VTOL,,"Australia, Canada, France, Germany, Israel, Japan, Netherlands, New Zealand, South Korea, United Kingdom, United States, various military contractors and commercial entities.",,The V-BAT is an advanced Vertical Take-Off and Landing (VTOL) unmanned aerial system (UAS) developed by Shield AI in collaboration with Martin UAV. This UAS combines the versatility of rotary-wing fli,"Type: Vertical Take-Off and Landing (VTOL) Unmanned Aerial System (UAS) | Country users: Australia, Canada, France, Germany, Israel, Japan, Netherlands, New Zealand, South Korea, United Kingdom, United States, various military contractors and commercial entities. | Designer Country: United States | Payload Weight: Up to 11.3 kg | Dimensions: Length: 2.74 m; Height: 2.4 m; Wingspan: 2.96 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/v-bat-vtol
94,UGVs,74.0,Uran-9,Uran-9 UGCV; Uran-9 UGV Unmanned Ground Combat Vehicle,Russia,766th UPTK (Rostec),"Armed tracked unmanned ground vehicle designed to deliver combined combat, reconnaissance and counter-terrorism units with remote reconnaissance and fire support. It can be operated fully autonomously","Weight: 10,000 kg | Armament: 30mm 2A72 automatic cannon, four 9M120-1 Ataka ATGMs, six Shmel-M reactive flamethrowers, 7.62mm PKT/PKTM coaxial machine gun | Max road speed: 35 km/h (cross-country 25 km/h) | Remote control range: 3,000 m | Dimensions: L 5.12 m; W 2.53 m; H 2.5 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-ground-vehicles/uran-9-ugcv-ugv-unmanned-ground-combat-vehicle-technical-data-sheet-specifications-pictures-video-10910163
95,Aircraft,71.7,KIZILELMA unmanned fighter aircraft (Baykar Technologies),,Türkiye,Baykar Technologies,"The Bayraktar KIZILELMA is a jet-powered, low-observable Unmanned Fighter Aircraft developed by Türkiye’s Baykar for air-to-air combat, strategic attack, suppression and destruction of enemy air defen","Type: Unmanned Fighter Aircraft; jet-powered unmanned combat aircraft; low-observable multirole air-combat and strike platform | Maximum take-off weight: 8,500 kg | Dimensions: Length: 14.5 mWingspan: 10 mHeight: 3.5 m | Cruise speed: Mach 0.6 | Maximum speed: Mach 0.9 for the currently published baseline configuration",https://www.armyrecognition.com/military-products/air/unmanned-aircraft-system/kizilelma-baykar-technologies
96,Aircraft,71.7,YFQ-44A Fury (Anduril),,United States,Anduril Industries,The YFQ-44A Fury is a next-generation Collaborative Combat Aircraft (CCA) and Uncrewed Combat Aerial Vehicle (UCAV) developed by Anduril Industries for the United States Air Force (USAF). Derived from,"Type: Collaborative Combat Aircraft (CCA); Uncrewed Combat Aerial Vehicle (UCAV); Group 5 Autonomous Air Vehicle | Maximum speed: Up to Mach 0.95 (Fury) | Armament and Payloads: The letter ""F"" in the YFQ-44A Fury designation identifies its role as an air combat platform. Developed under the Collaborative Combat Aircraft program, the aircraft is intended to complement crewed fighters by increasing the number of available weapons within an air formation. The first weapon officially integrated on the YFQ-44A Fury is the AIM-120 AMRAAM (Advanced Medium-Range Air-to-Air Missil | Armament: 2 × AIM-120 AMRAAM (Advanced Medium-Range Air-to-Air Missile) carried on two underwing pylons; first live missile launch conducted on July 15, 2026, against a simulated digital target | Propulsion and Flight Performance: The YFQ-44A Fury is powered by a single jet engine, enabling it to achieve performance comparable to that of a light combat aircraft while retaining the advantages of an autonomous platform. Its airframe has been developed to provide high maneuverability and a flight envelope compatible with collaborative combat missions alongside U.S. Air Force crewed fighters. The YFQ-44A Fury can reach a maximu",https://www.armyrecognition.com/military-products/air/unmanned-aircraft-system/yfq-44a-fury-anduril
97,Rocket and missile weapons,71.25,Carl-Gustaf M4,,,,"The Carl-Gustaf M4 (CGM4), also called M3E1 in the U.S. Army, is the latest generation of multi-role anti-tank weapon systems in the family of Carl-Gustaf developed and manufactured by the Swedish com","Types of targets: HE, high-explosive anti-tank (HEAT), Smoke, High-explosive anti-tank warhead, ASM (Anti-Structure Munition), illuminating star shell, MT (Multi Target) ammunition, practice, laser-guided projectile | Rockets weight: Armor penetration | Combat weight: Caliber | HE, high-explosive anti-tank (HEAT), Smoke, High-explosive anti-tank warhead, ASM (Anti-Structure Munition), illuminating star shell, MT (Multi Target) ammunition, practice, laser-guided projectile: Main battle tanks, armored vehicles, bunkers and buildings | Caliber: Less than 7 kg",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/carl-gustaf-m4-cgm4-multi-role-anti-tank-rocket-weapon-system
98,Rocket and missile weapons,71.25,RPG-75M,,,,"The RPG-75M is an advanced, lightweight, and portable anti-tank rocket launcher developed by the Czech Republic. It is an upgrade of the original RPG-75, designed to provide enhanced performance, accu","Type of Engaged Targets: Light vehicle, infantry combat vehicle, armored personnel carrier, fortified positions | Rocket Weight: 2.6 kg | Combat Weight: 3.2 kg ready to fire | Dimensions: Length: 630 mm (collapsed), 890 mm (extended) | Caliber: 68 mm",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/rpg-75m
99,EW assets,71.25,SPEXER 2000 3D MkIII radar,,,,"One of the things the current conflicts have taught us is that the military hardware we are used to, especially ground-based machines like tanks and troop carriers, are utterly useless when no anti-ai","Weight: Antenna: 30 kg Processing: 43 kg | Frequency Range: X-band radar | Main Features: • Fully phased array AESA radar system • Spectral-based micro Doppler target classification• VSHORAD, C-UAV and battlefield surveillance • Operation in high clutter environment (e.g. urban areas, rainy weather)• All targets in parallel• On-the-move capability• Hemispheric coverage • Military qualified (MIL-STD-810, MIL-STD-461) | Technical Specifications: Spexer 2000 3D MkIII | Radar Technology: Full coherent pulse doppler Radar",https://www.armyrecognition.com/military-products/army/radars/ground-radars/spexer-2000-3d-mkiii-very-short-range-air-defence-vshorad-c-uas-radar-hensold-data
100,EW assets,70.5,1RL257 or Krasukha-4 Jamming Station,,Weight truck,,The 1RL257 or Krasukha-4 is a Russian-made mobile electronic warfare system designed and manufactured by the Company Bryansk Electromechanical Plant (KRET). The Krasukha-4 is intended to neutralize Lo,Type: Armor | Country users: Weight truck | Designer Country: Speed truck | Weight truck: Russia | Dimensions: 3,https://www.armyrecognition.com/military-products/army/electronic-warfare/1rl257-or-krasukha-4-jamming-station
